job_title,company,location,source,scraped_at,type,salary,job_url,posted,description_preview
Senior Python Developer,"Payne, Roberts and Davis","Stewartbury, AA",static,2025-12-26 19:42:59,,,,,
Energy engineer,Vasquez-Davidson,"Christopherville, AA",static,2025-12-26 19:42:59,,,,,
Legal executive,"Jackson, Chambers and Levy","Port Ericaburgh, AA",static,2025-12-26 19:42:59,,,,,
Fitness centre manager,Savage-Bradley,"East Seanview, AP",static,2025-12-26 19:42:59,,,,,
Product manager,Ramirez Inc,"North Jamieview, AP",static,2025-12-26 19:42:59,,,,,
Medical technical officer,Rogers-Yates,"Davidville, AP",static,2025-12-26 19:42:59,,,,,
Physiological scientist,Kramer-Klein,"South Christopher, AE",static,2025-12-26 19:42:59,,,,,
Textile designer,Meyers-Johnson,"Port Jonathan, AE",static,2025-12-26 19:42:59,,,,,
Television floor manager,Hughes-Williams,"Osbornetown, AE",static,2025-12-26 19:42:59,,,,,
Waste management officer,"Jones, Williams and Villa","Scotttown, AP",static,2025-12-26 19:42:59,,,,,
Software Engineer (Python),Garcia PLC,"Ericberg, AE",static,2025-12-26 19:42:59,,,,,
Interpreter,Gregory and Sons,"Ramireztown, AE",static,2025-12-26 19:42:59,,,,,
Architect,"Clark, Garcia and Sosa","Figueroaview, AA",static,2025-12-26 19:42:59,,,,,
Meteorologist,Bush PLC,"Kelseystad, AA",static,2025-12-26 19:42:59,,,,,
Audiological scientist,Salazar-Meyers,"Williamsburgh, AE",static,2025-12-26 19:42:59,,,,,
English as a second language teacher,"Parker, Murphy and Brooks","Mitchellburgh, AE",static,2025-12-26 19:42:59,,,,,
Surgeon,Cruz-Brown,"West Jessicabury, AA",static,2025-12-26 19:42:59,,,,,
Equities trader,Macdonald-Ferguson,"Maloneshire, AE",static,2025-12-26 19:42:59,,,,,
Newspaper journalist,"Williams, Peterson and Rojas","Johnsonton, AA",static,2025-12-26 19:42:59,,,,,
Materials engineer,Smith and Sons,"South Davidtown, AP",static,2025-12-26 19:42:59,,,,,
Python Programmer (Entry-Level),"Moss, Duncan and Allen","Port Sara, AE",static,2025-12-26 19:42:59,,,,,
Product/process development scientist,Gomez-Carroll,"Marktown, AA",static,2025-12-26 19:42:59,,,,,
"Scientist, research (maths)","Manning, Welch and Herring","Laurenland, AE",static,2025-12-26 19:42:59,,,,,
Ecologist,"Lee, Gutierrez and Brown","Lauraton, AP",static,2025-12-26 19:42:59,,,,,
Materials engineer,"Davis, Serrano and Cook","South Tammyberg, AP",static,2025-12-26 19:42:59,,,,,
Historic buildings inspector/conservation officer,Smith LLC,"North Brandonville, AP",static,2025-12-26 19:42:59,,,,,
Data scientist,Thomas Group,"Port Robertfurt, AA",static,2025-12-26 19:42:59,,,,,
Psychiatrist,Silva-King,"Burnettbury, AE",static,2025-12-26 19:42:59,,,,,
Structural engineer,Pierce-Long,"Herbertside, AA",static,2025-12-26 19:42:59,,,,,
Immigration officer,Walker-Simpson,"Christopherport, AP",static,2025-12-26 19:42:59,,,,,
Python Programmer (Entry-Level),Cooper and Sons,"West Victor, AE",static,2025-12-26 19:42:59,,,,,
Neurosurgeon,"Donovan, Gonzalez and Figueroa","Port Aaron, AP",static,2025-12-26 19:42:59,,,,,
Broadcast engineer,"Morgan, Butler and Bennett","Loribury, AA",static,2025-12-26 19:42:59,,,,,
Make,Snyder-Lee,"Angelastad, AP",static,2025-12-26 19:42:59,,,,,
"Nurse, adult",Harris PLC,"Larrytown, AE",static,2025-12-26 19:42:59,,,,,
Air broker,Washington PLC,"West Colin, AP",static,2025-12-26 19:42:59,,,,,
"Editor, film/video","Brown, Price and Campbell","West Stephanie, AP",static,2025-12-26 19:42:59,,,,,
"Production assistant, radio",Mcgee PLC,"Laurentown, AP",static,2025-12-26 19:42:59,,,,,
"Engineer, communications",Dixon Inc,"Wrightberg, AP",static,2025-12-26 19:42:59,,,,,
Sales executive,"Thompson, Sheppard and Ward","Alberttown, AE",static,2025-12-26 19:42:59,,,,,
Software Developer (Python),Adams-Brewer,"Brockburgh, AE",static,2025-12-26 19:42:59,,,,,
Futures trader,Schneider-Brady,"North Jason, AE",static,2025-12-26 19:42:59,,,,,
Tour manager,Gonzales-Frank,"Arnoldhaven, AE",static,2025-12-26 19:42:59,,,,,
Cytogeneticist,Smith-Wong,"Lake Destiny, AP",static,2025-12-26 19:42:59,,,,,
"Designer, multimedia",Pierce-Herrera,"South Timothyburgh, AP",static,2025-12-26 19:42:59,,,,,
Trade union research officer,"Aguilar, Rivera and Quinn","New Jimmyton, AE",static,2025-12-26 19:42:59,,,,,
"Chemist, analytical","Lowe, Barnes and Thomas","New Lucasbury, AP",static,2025-12-26 19:42:59,,,,,
